time,PRICE_ASK_1,VOLUME_ASK_1,PRICE_BID_1,VOLUME_BID_1,PRICE_ASK_2,VOLUME_ASK_2,PRICE_BID_2,VOLUME_BID_2,PRICE_ASK_3,VOLUME_ASK_3,PRICE_BID_3,VOLUME_BID_3,PRICE_ASK_4,VOLUME_ASK_4,PRICE_BID_4,VOLUME_BID_4,PRICE_ASK_5,VOLUME_ASK_5,PRICE_BID_5,VOLUME_BID_5,PRICE_ASK_6,VOLUME_ASK_6,PRICE_BID_6,VOLUME_BID_6,PRICE_ASK_7,VOLUME_ASK_7,PRICE_BID_7,VOLUME_BID_7,PRICE_ASK_8,VOLUME_ASK_8,PRICE_BID_8,VOLUME_BID_8,PRICE_ASK_9,VOLUME_ASK_9,PRICE_BID_9,VOLUME_BID_9,PRICE_ASK_10,VOLUME_ASK_10,PRICE_BID_10,VOLUME_BID_10
2024-05-17 19:42:25,66998.38,0.13508163,66998.37,0.04765175,66999.5,0.04298704,66994.56,0.06928149,67000.53,0.07462628,66994.28,0.07463322,67002.88,0.01044836,66993.34,0.01492574,67002.89,0.01044836,66993.33,0.04666964,67003.22,0.089548,66992.48,0.0104484,67003.23,0.14924653,66991.94,0.0104484,67003.44,0.01044836,66991.92,0.0104484,67004.78,0.01492574,66991.86,0.17911713,67004.79,0.24386455,66991.85,0.2985284
2024-05-17 19:42:26,66998.38,0.2097402,66998.37,0.04529296,66999.49,0.11211987,66991.87,0.01492574,66999.5,0.04298704,66991.84,0.00016712,67000.43,0.14925277,66991.73,0.04478173,67003.06,0.01044833,66991.72,0.07463608,67003.07,0.01044833,66989.11,0.0895669,67003.22,0.01492574,66989.1,0.14927801,67003.62,0.01044833,66988.64,0.01480848,67004.77,0.02,66988.37,0.00381334,67004.79,0.22386455,66986.17,2.239e-05
2024-05-17 19:42:30,66993.57,0.0015159,66993.56,0.04047184,66995.35,0.02566477,66991.12,0.04478212,66995.36,0.04298704,66991.11,0.07463676,66997.73,0.05399917,66989.77,0.01044873,66997.74,0.07462938,66989.33,0.01044873,66998.38,5.224e-05,66989.22,0.01044873,66999.71,0.02537542,66989.11,0.0895669,67000.15,0.01044878,66989.1,0.14927801,67000.29,0.01044867,66988.64,0.01480848,67000.42,0.08955168,66988.37,0.01873998
2024-05-17 19:42:35,66993.57,0.1341225,66993.56,0.0015159,66994.99,0.0104495,66988.64,0.01480848,66995.06,0.01044951,66988.37,0.00381334,66995.34,8.214e-05,66986.23,0.07464219,66995.5,0.01492749,66986.17,2.239e-05,66995.51,0.01044951,66984.8,0.12713073,66995.58,0.08955818,66984.79,0.1492876,66995.59,0.14926356,66984.43,0.07080826,66998.98,0.22388404,66984.35,0.01044957,66998.99,0.37313996,66983.9,0.01044957
2024-05-17 19:42:38,66993.57,0.11672512,66993.56,0.02847323,66994.26,0.0447794,66988.95,0.07463916,66995.22,0.0746322,66988.64,0.01480848,66997.71,0.08955529,66988.37,0.00381334,66997.72,0.16418581,66988.17,0.01044898,66998.08,0.01044902,66987.72,0.01044898,66998.56,0.01044896,66987.62,0.01044898,66998.63,0.01044902,66986.84,0.01492699,67001.66,0.02,66986.83,0.08956986,67001.75,0.22387474,66986.82,0.14928309
2024-05-17 19:42:41,66991.96,0.06578272,66991.95,0.0245159,66993.57,0.00933431,66989.66,0.07447853,66996.18,0.04477871,66988.64,0.01480848,66996.19,0.07463111,66988.37,0.00381334,66997.71,0.08955529,66987.65,0.01044906,66997.72,0.14925882,66987.2,0.01044906,66997.81,0.01044906,66987.1,0.01044906,66997.91,0.01044906,66986.83,0.08956988,66998.36,0.02537593,66986.82,0.14928309,67001.66,0.02,66984.45,0.01492727
2024-05-17 19:42:44,66991.96,0.10799934,66991.95,0.02344106,66993.57,0.00922227,66990.33,0.07463763,66996.83,0.08955765,66988.64,0.01480848,66997.71,0.08955529,66988.37,0.01426229,66997.72,0.14925882,66987.92,0.01044895,66997.92,0.01044904,66987.82,0.01044895,66998.02,0.01044904,66986.83,0.08956988,66998.47,0.01044904,66986.82,0.14928309,67001.66,0.02,66984.43,0.07080803,67001.75,0.22387474,66982.79,0.26206291
2024-05-17 19:42:47,66990.34,0.17053015,66990.33,0.0825159,66991.96,0.00589195,66989.66,0.07463838,66993.57,0.00922227,66988.64,0.01480848,66995.35,0.01044945,66988.37,0.00381334,66995.45,0.01044945,66986.82,0.14928309,66995.9,0.01044945,66985.11,0.01044945,66995.99,0.08955893,66984.68,0.0550244,66997.71,0.08955529,66984.67,0.02537698,66997.72,0.14925882,66984.56,0.01044945,66999.12,0.08,66984.43,0.05588075
2024-05-17 19:42:51,66989.84,0.09595496,66989.83,0.05242215,66989.85,0.04298704,66989.72,0.07463831,66993.56,0.00016712,66987.93,0.1492806,66993.57,0.00922227,66984.49,0.08929614,66994.69,0.01044955,66984.48,0.04666964,66994.8,0.01044955,66984.43,0.05588075,66995.24,0.02537719,66984.33,0.01044958,66995.98,0.04477881,66983.89,0.01492764,66995.99,0.07463133,66983.88,0.01044958,66997.71,0.08955529,66983.78,0.01044958
2024-05-17 19:42:53,66989.84,0.09595496,66989.83,0.05242215,66989.85,0.04298704,66989.72,0.07463831,66993.56,0.00016712,66987.93,0.1492806,66993.57,0.00922227,66984.49,0.08929614,66994.69,0.01044955,66984.48,0.04666964,66994.8,0.01044955,66984.43,0.05588075,66995.23,0.04477926,66984.33,0.01044958,66995.24,0.02537719,66983.89,0.01492764,66995.37,0.07463202,66983.88,0.01044958,66997.71,0.08955529,66983.78,0.01044958
2024-05-17 19:42:56,66989.84,0.42184401,66989.83,0.05242215,66989.85,0.04298704,66988.8,0.07463934,66990.85,0.29855158,66987.93,0.1492806,66991.56,0.05599892,66984.49,0.08929614,66991.85,0.29855158,66984.48,0.04666964,66993.56,0.00016712,66984.43,0.05588075,66993.57,0.00922227,66984.33,0.01044958,66994.69,0.01044955,66983.89,0.01492764,66994.8,0.01044955,66983.88,0.01044958,66995.16,0.04477944,66983.78,0.01044958
