time,low,high,open,close,volume,sentiment
2024-05-17 05:00:00+00:00,161.36,161.51,161.48,161.45,161.77049939,0
2024-05-17 04:59:00+00:00,161.33,161.51,161.33,161.49,294.33778676,0
2024-05-17 04:58:00+00:00,161.29,161.5,161.45,161.39,245.27722136,0
2024-05-17 04:57:00+00:00,161.28,161.46,161.28,161.46,132.3737449,0
2024-05-17 04:56:00+00:00,161.19,161.35,161.29,161.23,140.4365597,0
2024-05-17 04:55:00+00:00,161.11,161.29,161.11,161.28,67.97173435,0
2024-05-17 04:54:00+00:00,161.06,161.21,161.21,161.11,115.89157286,0
2024-05-17 04:53:00+00:00,161.22,161.33,161.3,161.22,388.18189885,0
2024-05-17 04:52:00+00:00,161.05,161.32,161.1,161.32,54.3643556,0
2024-05-17 04:51:00+00:00,161.1,161.35,161.14,161.1,612.69972669,0
2024-05-17 04:50:00+00:00,161.03,161.15,161.1,161.13,1537.62126328,0
2024-05-17 04:49:00+00:00,161.08,161.48,161.48,161.11,281.59334237,0
2024-05-17 04:48:00+00:00,161.48,161.67,161.58,161.48,158.46260874,0
2024-05-17 04:47:00+00:00,161.47,161.63,161.63,161.51,145.47858925,0
2024-05-17 04:46:00+00:00,161.59,161.74,161.66,161.64,211.94311299,0
2024-05-17 04:45:00+00:00,161.61,161.77,161.73,161.64,23.8362346,0
2024-05-17 04:44:00+00:00,161.68,161.9,161.9,161.71,485.36562298,0
2024-05-17 04:43:00+00:00,161.87,161.99,161.87,161.94,274.8777008,0
2024-05-17 04:42:00+00:00,161.86,161.91,161.91,161.89,51.61655907,0
2024-05-17 04:41:00+00:00,161.73,161.91,161.75,161.91,274.46936726,0
2024-05-17 04:40:00+00:00,161.75,161.9,161.9,161.77,103.16858046,0
2024-05-17 04:39:00+00:00,161.93,162.08,161.99,161.96,579.84340635,0
2024-05-17 04:38:00+00:00,161.88,162.06,161.88,162.05,269.26326942,0
2024-05-17 04:37:00+00:00,161.85,161.95,161.93,161.88,271.50373031,0
2024-05-17 04:36:00+00:00,161.83,162.13,161.86,162.04,155.12373544,0
2024-05-17 04:35:00+00:00,161.76,161.91,161.76,161.86,345.37265162,0
2024-05-17 04:34:00+00:00,161.77,162.05,162.05,161.79,269.55508706,0
2024-05-17 04:33:00+00:00,162.04,162.23,162.22,162.08,101.51761377,0
2024-05-17 04:32:00+00:00,162.25,162.5,162.5,162.25,110.26130049,0
2024-05-17 04:31:00+00:00,162.49,162.63,162.5,162.51,83.22808711,0
2024-05-17 04:30:00+00:00,162.42,162.58,162.44,162.5,682.38317526,0
2024-05-17 04:29:00+00:00,162.38,162.46,162.44,162.44,152.70783145,0
2024-05-17 04:28:00+00:00,162.43,162.72,162.6,162.43,696.02527506,0
2024-05-17 04:27:00+00:00,162.44,162.61,162.55,162.59,229.05531155,0
2024-05-17 04:26:00+00:00,162.55,162.83,162.67,162.61,147.65278142,0
2024-05-17 04:25:00+00:00,162.56,162.68,162.58,162.67,280.33344334,0
2024-05-17 04:24:00+00:00,162.29,162.6,162.32,162.56,549.49619854,0
2024-05-17 04:23:00+00:00,162.27,162.37,162.37,162.34,241.70245599,0
2024-05-17 04:22:00+00:00,162.1,162.38,162.13,162.37,212.81743451,0
2024-05-17 04:21:00+00:00,162.11,162.24,162.23,162.13,222.13961479,0
2024-05-17 04:20:00+00:00,162.05,162.24,162.05,162.22,71.79056816,0
2024-05-17 04:19:00+00:00,161.86,162.09,161.97,162.08,217.19534896,0
2024-05-17 04:18:00+00:00,161.92,162.04,162.04,161.96,737.0221572,0
2024-05-17 04:17:00+00:00,162.03,162.13,162.09,162.03,161.4477103,0
2024-05-17 04:16:00+00:00,162.03,162.23,162.22,162.09,91.28115949,0
2024-05-17 04:15:00+00:00,162.19,162.28,162.25,162.19,38.39590753,0
2024-05-17 04:14:00+00:00,162.19,162.28,162.19,162.27,44.4177677,0
2024-05-17 04:13:00+00:00,162.2,162.34,162.34,162.2,53.42445329,0
2024-05-17 04:12:00+00:00,162.24,162.52,162.4,162.32,201.7906493,0
2024-05-17 04:11:00+00:00,162.37,162.46,162.45,162.39,64.06651725,0
2024-05-17 04:10:00+00:00,162.19,162.51,162.19,162.47,202.90670527,0
2024-05-17 04:09:00+00:00,162.05,162.24,162.2,162.24,236.74158638,0
2024-05-17 04:08:00+00:00,162.07,162.27,162.27,162.23,449.02335271,0
2024-05-17 04:07:00+00:00,162.2,162.31,162.22,162.28,137.38100065,0
2024-05-17 04:06:00+00:00,162.16,162.29,162.29,162.22,74.1668843,0
2024-05-17 04:05:00+00:00,162.28,162.44,162.36,162.28,105.35348563,0
2024-05-17 04:04:00+00:00,162.34,162.43,162.35,162.36,43.22397878,0
2024-05-17 04:03:00+00:00,162.11,162.35,162.11,162.35,105.11171211,0
2024-05-17 04:02:00+00:00,162.1,162.36,162.36,162.1,241.82834527,0
2024-05-17 04:01:00+00:00,162.28,162.47,162.28,162.36,265.12078553,0
2024-05-17 04:00:00+00:00,162.22,162.39,162.22,162.3,74.78423984,0
2024-05-17 03:59:00+00:00,162.1,162.25,162.21,162.23,331.57740364,0
2024-05-17 03:58:00+00:00,162.2,162.3,162.27,162.22,136.41814283,0
2024-05-17 03:57:00+00:00,162.21,162.47,162.42,162.27,581.2903592,0
2024-05-17 03:56:00+00:00,162.33,162.66,162.53,162.37,405.58248448,0
2024-05-17 03:55:00+00:00,162.51,162.62,162.61,162.53,177.17903762,0
2024-05-17 03:54:00+00:00,162.54,162.61,162.58,162.61,650.24272554,0
2024-05-17 03:53:00+00:00,162.37,162.59,162.37,162.59,292.46076576,0
2024-05-17 03:52:00+00:00,162.37,162.66,162.65,162.37,127.5835983,0
2024-05-17 03:51:00+00:00,162.58,162.69,162.62,162.66,172.94795635,0
2024-05-17 03:50:00+00:00,162.27,162.63,162.27,162.63,330.54308562,0
2024-05-17 03:49:00+00:00,162.28,162.47,162.4,162.29,153.74829419,0
2024-05-17 03:48:00+00:00,162.19,162.4,162.25,162.4,266.00935238,0
2024-05-17 03:47:00+00:00,162.1,162.25,162.21,162.24,210.8433547,0
2024-05-17 03:46:00+00:00,162.2,162.34,162.28,162.21,443.82149428,0
