time,low,high,open,close,volume
2024-05-17 05:00:00,65440.95,65474.04,65464.8,65459.77,9.93041807
2024-05-17 04:59:00,65454.19,65464.79,65459.1,65464.79,0.43905886
2024-05-17 04:58:00,65446.37,65471.24,65469.73,65459.27,1.8477331
2024-05-17 04:57:00,65435.44,65474.34,65435.44,65467.53,3.58384463
2024-05-17 04:56:00,65425.37,65463.16,65435.29,65436.22,3.07485779
2024-05-17 04:55:00,65411.25,65439.09,65411.25,65435.29,0.98672991
2024-05-17 04:54:00,65400.0,65417.93,65417.7,65411.24,1.12996749
2024-05-17 04:53:00,65413.03,65430.48,65423.39,65417.8,1.18589596
2024-05-17 04:52:00,65396.48,65423.39,65407.06,65423.39,0.6120601
2024-05-17 04:51:00,65387.59,65424.35,65391.61,65407.06,0.45975881
2024-05-17 04:50:00,65373.78,65406.99,65396.06,65391.61,2.0312647
2024-05-17 04:49:00,65395.9,65433.2,65433.2,65397.69,1.23713917
2024-05-17 04:48:00,65432.02,65460.6,65446.17,65433.2,1.11995686
2024-05-17 04:47:00,65441.56,65496.36,65496.36,65446.16,1.18972926
2024-05-17 04:46:00,65495.84,65509.9,65495.84,65496.36,0.52890911
2024-05-17 04:45:00,65495.84,65510.22,65496.06,65495.84,0.45413033
2024-05-17 04:44:00,65496.06,65540.18,65540.18,65496.07,0.4644547
2024-05-17 04:43:00,65504.41,65556.45,65504.42,65544.0,1.43477277
2024-05-17 04:42:00,65481.61,65508.94,65481.61,65504.42,0.8995361
2024-05-17 04:41:00,65455.58,65489.41,65462.51,65481.62,1.79982118
2024-05-17 04:40:00,65447.62,65479.18,65479.18,65462.52,0.88182201
2024-05-17 04:39:00,65479.17,65498.1,65498.1,65481.22,0.56569844
2024-05-17 04:38:00,65466.17,65498.79,65471.1,65498.11,0.88606324
2024-05-17 04:37:00,65458.78,65484.34,65484.34,65471.11,1.56201724
2024-05-17 04:36:00,65465.72,65488.47,65469.63,65484.34,0.45287093
2024-05-17 04:35:00,65442.97,65476.87,65442.97,65469.63,2.01324086
2024-05-17 04:34:00,65442.98,65480.96,65470.5,65445.99,4.62320874
2024-05-17 04:33:00,65463.22,65532.33,65532.32,65470.5,7.63200479
2024-05-17 04:32:00,65524.6,65555.3,65555.3,65532.33,1.44517325
2024-05-17 04:31:00,65530.0,65568.02,65538.61,65555.19,1.78421411
2024-05-17 04:30:00,65517.32,65550.3,65523.69,65538.61,4.07186118
2024-05-17 04:29:00,65512.0,65534.96,65532.11,65523.68,1.82783505
