bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.90507648,-0.11909232,0.29281878,-0.5,0.09702552,-0.80458091,0.09702522,-0.0508707,0.80862387,-0.80852253,0.25907736,-0.36353714,0.25907736,-0.23287045,0.08272778,-2.03743249,0.2444426,-3.23400318,0.08272778,-0.16171535,0.0,2024-05-17 19:44:15
0.19404948,-0.00104961,0.9615541,-1.00323587,0.29281878,-1.30852253,-0.17,-0.36353714,0.0,-2.03743249,0.31761471,-3.23400318,6.78629659,-0.16171535,0.31761471,-0.23285937,0.25907736,-1.47047527,0.25907736,-0.5,0.0,2024-05-17 19:44:18
-0.01563168,-0.98612228,-0.37002213,0.2825113800000001,0.32776422,-1.21149584,0.4955499,0.0,0.37958269,-0.23286471,0.19405456,-0.80849241,0.80859364,-2.65595172,0.357,-4.70434027,0.16170848,-0.5,0.31761471,-2.22203256,0.0,2024-05-17 19:44:21
0.0,1.0213656,0.0970272,0.1940544,0.40884635,-0.36353714,0.37188085,-0.23286672,0.34344261,0.2522308,1.19328275,0.0,0.37002213,-1.33321963,0.02256482,-1.4704752700000001,0.16170675,0.0,3.23446631,0.0,0.0,2024-05-17 19:44:24
0.85686887,-0.06002441000000003,0.80855898,-0.09702631,0.55105262,-0.09702631,0.31181915,-0.36353714,0.37188085,-0.23286313,0.34344261,-0.391,0.38470483,-0.5,3.26153726,-1.07683156,0.16170222,-0.98627079,6.4684099,-0.80844844,0.0,2024-05-17 19:44:28
0.0,-0.0009457099999999885,0.0,0.19405262,0.09702631,0.01630003,0.09702631,0.0,0.31181915,0.0,0.37188085,-0.391,0.34344261,-1.00286122,0.38470483,-0.98627079,3.26153726,-0.5,0.16170222,0.0,-1.0,2024-05-17 19:44:30
-0.09702813,0.20115066,-3.23449032,0.9214932,-0.09702813,0.0,-0.16170222,0.23286728,-6.4684099,0.36353714,-0.36353714,0.0,-0.85322938,0.0,-0.85322938,0.0,-1.40074293,0.0,-6.4684099,0.0,0.0,2024-05-17 19:44:34
1.6422006,-0.92527294,0.10626627,-0.09702646,3.23449032,0.0,0.0,-0.13584082000000003,0.0,0.0,0.0,0.23286351,0.85322938,0.0,0.85322938,0.0,0.85322938,0.0,1.40074293,0.0,0.0,2024-05-17 19:44:36
-0.13325450000000005,-0.40317552,0.09702646,0.09702646,0.09702647,0.09702647,0.17923981,0.01630003,3.23449032,0.0,0.16170222,0.0,0.98685933,0.391,0.36353714,1.00286122,0.85322938,0.98627079,0.85322938,0.5,0.0,2024-05-17 19:44:39
0.0,0.21432217,-0.17923981,0.48856787,-3.23449032,-0.01630003,-0.09702662,-0.23286374,-0.16170506,0.0,-0.09702646,-0.391,-0.36353714,-1.00286122,-0.85322938,-0.98627079,-0.85322938,-0.80845887,-0.85322938,0.0,0.0,2024-05-17 19:44:42
