time,low,high,open,close,volume
2024-05-17 05:00:00,2945.56,2946.6,2945.99,2946.38,13.25194162
2024-05-17 04:59:00,2945.56,2946.64,2946.21,2946.04,28.32061462
2024-05-17 04:58:00,2945.96,2948.14,2948.03,2946.37,22.11266933
2024-05-17 04:57:00,2947.37,2948.35,2947.76,2948.04,4.73272061
2024-05-17 04:56:00,2947.23,2948.59,2947.58,2947.76,8.0435989
2024-05-17 04:55:00,2946.97,2947.85,2946.97,2947.57,3.51807617
2024-05-17 04:54:00,2946.7,2947.33,2946.88,2946.94,19.68063866
2024-05-17 04:53:00,2946.34,2947.45,2947.45,2946.96,10.2660408
2024-05-17 04:52:00,2945.73,2947.55,2946.33,2947.25,8.85576226
2024-05-17 04:51:00,2946.13,2948.01,2946.22,2946.59,13.65756266
2024-05-17 04:50:00,2945.12,2946.35,2945.63,2946.29,10.44200033
2024-05-17 04:49:00,2945.19,2948.41,2948.41,2945.74,4.83201108
2024-05-17 04:48:00,2948.22,2949.83,2949.32,2948.43,28.43910941
2024-05-17 04:47:00,2948.76,2950.42,2950.42,2949.25,6.54775313
2024-05-17 04:46:00,2949.16,2950.45,2949.52,2950.45,1.37186999
2024-05-17 04:45:00,2949.3,2950.03,2949.43,2949.33,3.07964701
2024-05-17 04:44:00,2949.11,2949.94,2949.94,2949.36,5.53281692
2024-05-17 04:43:00,2949.37,2950.54,2949.45,2950.11,4.79312126
2024-05-17 04:42:00,2949.06,2950.17,2949.09,2949.41,16.95619298
2024-05-17 04:41:00,2948.36,2949.22,2948.71,2949.06,7.55255552
2024-05-17 04:40:00,2948.36,2949.01,2948.85,2948.78,5.2794286
2024-05-17 04:39:00,2948.89,2950.46,2950.44,2948.89,6.58037197
2024-05-17 04:38:00,2949.36,2950.47,2949.61,2950.47,2.32179782
2024-05-17 04:37:00,2949.27,2950.23,2950.23,2949.64,8.23880121
2024-05-17 04:36:00,2949.46,2950.23,2950.12,2950.22,6.57251267
